Participant Number,Age,Gender,Ethnicity (simplified),Country of birth,Country of residence,Nationality,First Language
299,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English
300,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English
301,51,Female,Black,United Kingdom,United Kingdom,United Kingdom,English
302,54,Female,White,United Kingdom,United Kingdom,United Kingdom,English
303,41,Female,White,Ireland,United Kingdom,Ireland,English
304,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English
305,50,Male,White,United Kingdom,United Kingdom,United Kingdom,English
306,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English
307,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English
308,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English
309,44,Male,White,United Kingdom,United Kingdom,United Kingdom,English
310,74,Male,White,United Kingdom,United Kingdom,Ireland,English
311,32,Female,White,United Kingdom,United Kingdom,Ireland,English
312,44,Female,White,Canada,United Kingdom,United Kingdom,English
313,59,Male,White,United Kingdom,United Kingdom,United Kingdom,English
314,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English
315,45,Male,White,United Kingdom,United Kingdom,United Kingdom,English
316,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English
317,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English
318,66,Male,White,United Kingdom,United Kingdom,United Kingdom,English
319,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English
320,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English
321,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English
322,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English
323,59,Female,White,United Kingdom,United Kingdom,United Kingdom,English
324,39,Female,White,United Kingdom,United Kingdom,United Kingdom,English
325,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English
326,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English
327,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English
328,23,Male,White,United Kingdom,United Kingdom,United Kingdom,English
329,63,Male,White,United Kingdom,United Kingdom,United Kingdom,English
330,53,Male,White,Ireland,United Kingdom,Ireland,English
331,43,Male,White,United States,United States,United States,English
332,64,Male,White,United Kingdom,United Kingdom,United Kingdom,English
333,41,Male,White,United Kingdom,United Kingdom,United Kingdom,English
334,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English
335,72,Female,White,United Kingdom,United Kingdom,United Kingdom,English
336,63,Female,White,United Kingdom,United Kingdom,United Kingdom,English
337,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English
338,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English
339,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English
340,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English
341,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English
342,23,Female,White,United Kingdom,United Kingdom,United Kingdom,English
343,47,Female,Asian,Malaysia,United Kingdom,Malaysia,English
344,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English
345,47,Male,White,United Kingdom,United Kingdom,United Kingdom,English
346,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English
347,65,Female,White,United Kingdom,United Kingdom,United Kingdom,English
348,71,Female,White,United Kingdom,United Kingdom,United Kingdom,English
349,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English
350,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English
351,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English
352,52,Male,White,United Kingdom,United Kingdom,United Kingdom,English
353,25,Male,Black,Nigeria,United Kingdom,Nigeria,English
354,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English
355,29,Female,White,Poland,United Kingdom,United Kingdom,Polish
356,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English
357,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English
